id,post_id,topic_id,post_number,created_at,updated_at,deleted_at,deleted_by
410854,209420,10010,72,2016-03-23 22:40:23 UTC,2016-03-23 22:40:23 UTC,,
413881,209979,3208,19280,2016-03-24 13:33:51 UTC,2016-03-24 13:33:51 UTC,,
414281,210583,9770,273,2016-03-24 16:06:27 UTC,2016-03-24 16:06:27 UTC,,
417836,211779,9770,302,2016-03-25 01:26:13 UTC,2016-03-25 01:26:13 UTC,,
417837,211777,9770,301,2016-03-25 01:26:16 UTC,2016-03-25 01:26:16 UTC,,
417688,211748,9770,289,2016-03-25 01:12:57 UTC,2016-03-25 01:12:57 UTC,2016-03-25 01:13:22 UTC,other
417828,211771,9770,299,2016-03-25 01:25:23 UTC,2016-03-25 01:25:23 UTC,,
419743,211946,10217,87,2016-03-25 13:13:14 UTC,2016-03-25 13:13:14 UTC,,
420277,212553,5725,64,2016-03-25 15:01:55 UTC,2016-03-25 15:01:55 UTC,,
420496,212650,10403,12,2016-03-25 15:39:48 UTC,2016-03-25 15:39:48 UTC,,
420872,212794,9770,330,2016-03-25 17:13:23 UTC,2016-03-25 17:13:23 UTC,,
426539,215361,10520,1,2016-03-26 18:41:10 UTC,2016-03-26 18:41:10 UTC,2016-03-26 18:44:47 UTC,other
426722,215502,10120,80,2016-03-26 19:16:48 UTC,2016-03-26 19:16:48 UTC,,
428439,215802,10010,79,2016-03-27 01:02:57 UTC,2016-03-27 01:02:57 UTC,,
428440,216182,10010,80,2016-03-27 01:02:59 UTC,2016-03-27 01:02:59 UTC,,
480748,233490,10010,91,2016-04-03 02:37:39 UTC,2016-04-03 02:37:39 UTC,,
2732781,1094670,32897,2,2017-03-02 02:15:50 UTC,2017-03-02 02:15:50 UTC,,
2706260,1083246,32737,2,2017-02-25 15:18:31 UTC,2017-02-25 15:18:31 UTC,,
2733364,1094756,32897,3,2017-03-02 04:35:24 UTC,2017-03-02 04:35:24 UTC,,
2641019,1057931,31753,29,2017-02-13 03:17:26 UTC,2017-02-13 03:17:26 UTC,,
2640995,1056523,31753,27,2017-02-13 03:15:59 UTC,2017-02-13 03:15:59 UTC,,
2641011,1054410,32193,14,2017-02-13 03:17:01 UTC,2017-02-13 03:17:01 UTC,,
2734041,1094881,32897,5,2017-03-02 14:30:55 UTC,2017-03-02 14:30:55 UTC,,
2734042,1095035,32897,6,2017-03-02 14:30:55 UTC,2017-03-02 14:30:55 UTC,,
2711029,1085659,32756,6,2017-02-26 04:18:53 UTC,2017-02-26 04:18:53 UTC,,
2710986,1085635,32756,2,2017-02-26 04:11:21 UTC,2017-02-26 04:11:21 UTC,,
2710987,1085639,32756,3,2017-02-26 04:11:30 UTC,2017-02-26 04:11:30 UTC,,
2711020,1085654,32756,4,2017-02-26 04:17:59 UTC,2017-02-26 04:17:59 UTC,,
2711315,1085809,32756,8,2017-02-26 05:46:48 UTC,2017-02-26 05:46:48 UTC,,
3620771,1447523,36686,91,2017-09-17 15:28:29 UTC,2017-09-17 15:28:29 UTC,,
2712791,1086197,32756,10,2017-02-26 14:42:53 UTC,2017-02-26 14:42:53 UTC,,
2651220,1061225,32217,56,2017-02-14 22:47:35 UTC,2017-02-14 22:47:35 UTC,,
2714435,1086760,32756,11,2017-02-26 20:35:29 UTC,2017-02-26 20:35:29 UTC,,
564356,266115,10403,148,2016-04-15 15:47:07 UTC,2016-04-15 15:47:07 UTC,,
2736041,1095594,32897,7,2017-03-03 00:46:10 UTC,2017-03-03 00:46:10 UTC,,
577463,267588,12714,1,2016-04-17 02:11:07 UTC,2016-04-17 02:11:07 UTC,,
577480,271499,12714,1711,2016-04-17 02:16:15 UTC,2016-04-17 02:16:15 UTC,,
581684,273301,12849,6,2016-04-17 18:19:56 UTC,2016-04-17 18:19:56 UTC,,
581610,273272,12849,4,2016-04-17 18:10:30 UTC,2016-04-17 18:10:30 UTC,,
581904,273349,12849,8,2016-04-17 19:11:10 UTC,2016-04-17 19:11:10 UTC,,
581959,273416,12849,10,2016-04-17 19:30:42 UTC,2016-04-17 19:30:42 UTC,,
2664709,1066316,32358,17,2017-02-17 15:24:42 UTC,2017-02-17 15:24:42 UTC,,
582773,273474,12849,12,2016-04-17 21:38:33 UTC,2016-04-17 21:38:33 UTC,,
2664928,1066611,32409,7,2017-02-17 16:50:17 UTC,2017-02-17 16:50:17 UTC,,
2664944,381323,16843,1,2017-02-17 17:01:38 UTC,2017-02-17 17:01:38 UTC,,
583329,274052,7008,921,2016-04-17 23:44:43 UTC,2016-04-17 23:44:43 UTC,,
583324,274048,7008,919,2016-04-17 23:44:02 UTC,2016-04-17 23:44:02 UTC,,
2665154,1066691,32414,7,2017-02-17 18:55:51 UTC,2017-02-17 18:55:51 UTC,,
583715,274223,6531,1002,2016-04-18 00:29:58 UTC,2016-04-18 00:29:58 UTC,,
583779,274282,6531,1027,2016-04-18 00:39:25 UTC,2016-04-18 00:39:25 UTC,,
583813,274309,12849,15,2016-04-18 00:46:33 UTC,2016-04-18 00:46:33 UTC,,
2718619,1087060,32756,13,2017-02-27 15:30:17 UTC,2017-02-27 15:30:17 UTC,,
2718620,1087099,32756,14,2017-02-27 15:30:19 UTC,2017-02-27 15:30:19 UTC,,
2665947,1066918,32414,22,2017-02-17 20:57:19 UTC,2017-02-17 20:57:19 UTC,,
2666458,1067142,32414,30,2017-02-17 22:36:04 UTC,2017-02-17 22:36:04 UTC,,
2666504,1067164,32425,4,2017-02-17 22:47:23 UTC,2017-02-17 22:47:23 UTC,,
2666542,1067171,31977,1795,2017-02-17 22:53:11 UTC,2017-02-17 22:53:11 UTC,,
2666549,1067174,31977,1797,2017-02-17 22:54:39 UTC,2017-02-17 22:54:39 UTC,,
585686,274720,12849,20,2016-04-18 13:32:11 UTC,2016-04-18 13:32:11 UTC,,
2666688,1067217,32425,12,2017-02-17 23:21:52 UTC,2017-02-17 23:21:52 UTC,,
2666703,1067220,32425,14,2017-02-17 23:22:27 UTC,2017-02-17 23:22:27 UTC,,
3621141,1447911,37009,9382,2017-09-17 16:24:49 UTC,2017-09-17 16:24:49 UTC,,
3621142,1447981,37009,9383,2017-09-17 16:24:51 UTC,2017-09-17 16:24:51 UTC,,
2669740,1067792,32414,39,2017-02-18 17:11:53 UTC,2017-02-18 17:11:53 UTC,,
2669741,1067793,32414,40,2017-02-18 17:11:57 UTC,2017-02-18 17:11:57 UTC,,
598383,278954,12849,27,2016-04-20 01:19:50 UTC,2016-04-20 01:19:50 UTC,,
598449,277605,12849,24,2016-04-20 01:24:54 UTC,2016-04-20 01:24:54 UTC,,
