visited_at,posts_read,mobile,time_read
2019-08-13,47,false,184
2019-08-14,959,false,8092
2019-08-15,375,false,3119
2019-08-16,582,true,5334
2019-08-17,7375,true,6963
2019-09-12,391,true,3341
2019-09-13,320,true,1958
2019-09-14,26,false,146
2019-09-18,281,true,1745
2019-09-19,115,true,1062
2019-09-20,74,true,258
2019-10-17,207,true,800
2019-10-18,462,true,4661
2019-10-19,59,true,148
2019-10-21,102,false,116
2019-10-22,17,true,60
2019-10-24,95,true,641
2019-11-05,46,true,217
2020-01-24,19,false,153
2020-03-09,24,false,73
2020-05-29,479,true,6284
2020-05-30,190,true,2434
2020-05-31,82,true,658
2020-06-01,127,true,628
2020-06-28,156,true,1296
2020-06-29,576,true,8046
2020-06-30,522,true,7176
2020-07-01,193,true,1816
2020-08-25,4,false,8
2020-09-24,29,false,216
2020-09-30,6,false,29
2020-10-01,25,false,161
2020-10-08,7,true,8
2020-10-10,48,true,484
2020-10-13,169,false,768
2020-10-27,577,true,996
2020-11-02,74,false,375
2020-11-11,81,false,246
2020-11-12,24,false,42
2020-12-16,0,false,0
2020-12-23,8,true,27
2021-01-25,90,false,424
2021-01-26,98,false,153
2021-01-28,171,false,1245
2021-02-02,34,false,83
2021-02-04,61,false,162
2021-02-20,387,false,4527
2021-02-21,252,false,3782
2021-02-22,202,false,1483
2021-02-23,113,false,724
2021-02-25,113,false,924
2021-02-28,22,false,125
2021-03-03,19,false,230
2021-03-06,120,false,1660
2021-03-07,134,false,593
2021-03-08,82,false,506
2021-03-09,39,false,279
2021-03-10,82,false,2115
2021-03-11,33,false,670
2021-03-12,97,false,837
2021-03-13,122,false,1031
2021-03-14,26,false,140
2021-03-15,111,false,1026
2021-03-16,23,false,159
2021-03-17,19,false,68
2021-03-18,14,false,58
2021-03-19,9,false,86
2021-03-20,31,false,322
2021-05-09,169,true,1820
2021-05-10,47,true,447
2021-05-11,36,true,726
2021-05-13,145,true,1811
2021-05-14,185,true,1327
2021-05-15,2,true,97
2021-05-16,1,true,191
2021-05-17,371,true,6671
2021-05-19,31,true,335
2021-05-20,49,true,381
2021-05-21,42,true,139
2021-05-22,6,true,29
2021-05-23,18,true,21
2021-05-25,272,true,4459
2021-05-26,866,true,5513
2021-05-27,231,true,2521
2021-05-28,183,true,1574
2021-06-01,227,true,2063
2021-06-02,399,true,3910
2021-06-03,504,true,6681
